Order,Species,Common name,Habitat,repro.mode,smax,smat,k,amax,amat,litter.size,preiodicity,Fextinct
Carcharhinidae,Carcharhinus acronotus,blacknose shark,shelf,Vp,132.4,102.4,0.266,19,3.8,3.9,2,0.197
Carcharhinidae,Carcharhinus amblyrhynchos,gray reef shark,shelf,Vp,190,125,0.294,12,6,4.1,2,0.174
Carcharhinidae,Carcharhinus brachyurus,copper shark,shelf,Vp,275,206.1,0.049,34.5,20.9,16.6,2,0.145
Carcharhinidae,Carcharhinus brevipinna,spinner shark,shelf,Vp,294.1,217,0.1,19,9,8.5,2,0.209
Carcharhinidae,Carcharhinus cautus,nervous shark,shelf,Vp,133,100.7,0.198,16.4,6,4.2,2,0.177
Carcharhinidae,Carcharhinus falciformis,silky shark,oceanic,Vp,305,225,0.148,17.9,9,6.5,2,0.209
Carcharhinidae,Carcharhinus galapagensis,Galapagos shark,shelf,Vp,300,227.5,0.172,15,7.8,8.7,2,0.232
Carcharhinidae,Carcharhinus isodon,finetooth shark,shelf,Vp,159.6,123,0.244,8,4.3,4,2,0.192
Carcharhinidae,Carcharhinus leucas,bull shark,shelf,Vp,300.2,225,0.076,28,18,9.9,2,0.126
Carcharhinidae,Carcharhinus limbatus,blacktip shark,shelf,Vp,191,160,0.21,10,6.5,4.6,2,0.182
Carcharhinidae,Carcharhinus longimanus,oceanic whitetip shark,oceanic,Vp,285,183.3,0.101,14,5.5,6.1,2,0.24
Carcharhinidae,Carcharhinus obscurus,dusky shark,shelf,Vp,357.2,279.3,0.043,34,20.5,10,3,0.11
Carcharhinidae,Carcharhinus plumbeus,sandbar shark,shelf,Vp,226.5,176,0.093,22.4,11.4,7.9,2,0.181
Carcharhinidae,Carcharhinus porosus,smalltail shark,shelf,Vp,128,70,0.076,24,6,4.5,1,0.278
Carcharhinidae,Carcharhinus signatus,night shark,oceanic,Vp,260,202.5,0.114,31.7,10,11.1,2,0.217
Carcharhinidae,Carcharhinus sorrah,spottail shark,shelf,Vp,151.8,95,0.34,7,2.5,3.1,1,0.355
Carcharhinidae,Carcharhinus tilstoni,Australian blacktip shark,shelf,Vp,196,115,0.14,12,3.5,3,1,0.295
Carcharhinidae,Galeocerdo cuvier,tiger shark,shelf,Vl,410,333.5,0.184,22.5,10,31.5,2,0.317
Carcharhinidae,Isogomphodon oxyrhynchus,daggernose shark,shelf,Vp,160,115,0.121,20,6.5,5,2,0.192
Carcharhinidae,Negaprion brevirostris,lemon shark,shelf,Vp,293.6,239,0.06,20,12.7,7.4,2,0.158
Carcharhinidae,Prionace glauca,blue shark,oceanic,Vp,341.8,206.5,0.146,14,5,30,1,0.637
Carcharhinidae,Rhizoprionodon taylori,Australian sharpnose shark,shelf,Vp,78.4,57.5,1.013,7,1,4.5,1,0.893
Carcharhinidae,Rhizoprionodon terraenovae,Atlantic sharpnose shark,shelf,Vp,108.9,78.5,0.56,10.2,2.3,4.4,1,0.54
Scyliorhinidae,Scyliorhinus canicula,lesser-spotted catshark,shelf,O,71,57,0.15,12,7.6,45.5,1,0.497
