PIT tag number/ID,Tube Label,Year of capture,Date of capture,Island,Site,Sex,PCL (cm),TL (cm),DOB,Father,Mother
,DEAD/ANDROS,2006,7/20/2006,AND,FRESH CREEK,F,224,293,,,
,BEL2003_01,2003,5/3/2003,BEL,GLO,F,50,64,2003,,
,BEL2003_0341,2003,5/17/2003,BEL,GLO,F,,258,,,
,BEL2003_03,2003,5/18/2003,BEL,GLO,M,,,2003,,
,BEL2003_04,2003,5/18/2003,BEL,GLO,M,,,2003,,
,BEL2003_02,2003,5/19/2003,BEL,GLO,,,,2003,,
,BEL2003_05,2003,5/21/2003,BEL,GLO,F,57,75.4,,,
,BEL2003_06,2003,5/25/2003,BEL,GLO,F,,,,,
,BEL25,,,BEL,,,,,,,
,BEL26,,,BEL,,,,,,,
,BEL27,,,BEL,,,,,,,
,BEL28,,,BEL,,,,,,,
,BEL29,,,BEL,,,,,,,
,BEL30,,,BEL,,,,,,,
,BEL31,,,BEL,,,,,,,
,BEL32,,,BEL,,,,,,,
,BEL34,,,BEL,,,,,,,
,BEL35,,,BEL,,,,,,,
,BEL36,,,BEL,,,,,,,
,BEL37,,,BEL,,,,,,,
,Belize1,,,BEL,GLO,,,,,,
,Belize2,,,BEL,GLO,,,,,,
,Belize3,,,BEL,GLO,,,,,,
,Belize4,,,BEL,GLO,,,,,,
,Belize5,,,BEL,GLO,,,,,,
,Belize6,,,BEL,GLO,,,,,,
,Belize7,,,BEL,GLO,,,,,,
,Belize8,,,BEL,GLO,,,,,,
,Belize9,,,BEL,GLO,,,,,,
7F7F144871,44871; R1-51,1990,6/3/1990,BIM,NOS,F,58.2,75.6,,,
7F7F144F73,44F73,1990,7/3/1990,BIM,NOS,M,50.2,65,,,
7F7E2F266F,F266F,1990,7/5/1990,BIM,NOS,M,58.8,75.1,,,
7F7F7F214F,F214F,1991,5/24/1991,BIM,NOS,M,46,61,,MALE#5072,FEMALE#012
7F7D1D7F5E; 222D585515,D7F5E; 85515,1991,6/28/1991,BIM,NOS,F,48,63.5,,,
7F7F197724,97724,1994,6/16/1994,BIM,ATC,F,136,175.5,,,
7F7F3F4B49,F4B49; DEAD26,1994,6/18/1994,BIM,ATC,F,120,155,,,
7F7F3F3E7E;  2238383D41,F3E7E; IAGO; 83D41,1994,6/21/1994,BIM,ATC,M,123,158,,,FEMALE#012
20022C773B,C773B,1995,1/22/1995,BIM,BFH,M,118,156,,,
7F7F146426,46426; DEAD25,1995,4/17/1995,BIM,SOB,M,146,189,,,
222D556F55; 1F73677E09,56F55; 77E09; DEAD28,1995,5/7/1995,BIM,,F,46.7,60,1995,MALE#0004,34556
2236004320,4320,1995,6/2/1995,BIM,NOS,M,60,76.5,1993,MALE#0034,FEMALE#019
