"Nf","NfSE","Nm","NmSE"
23,4,71,10
17,3,77,13
20,3,68,10
37,7,72,11
24,3,72,13
16,2,77,13
28,5,69,10
13,2,73,12
27,4,77,13
19,3,89,15
22,3,63,9
17,3,89,14
14,2,117,23
21,4,74,11
16,2,74,12
19,3,80,13
22,3,64,11
17,3,81,12
17,3,93,15
12,2,89,15
22,3,96,16
15,2,68,10
29,5,78,13
18,3,69,11
14,2,99,17
19,2,95,19
25,4,102,16
22,3,82,13
32,7,58,9
31,6,92,15
34,7,70,11
25,4,66,10
32,6,67,10
16,2,120,23
19,3,132,27
23,4,88,14
21,4,62,9
30,5,80,13
19,4,81,13
20,3,79,12
19,3,90,16
11,2,63,10
11,1,91,15
14,3,86,14
13,2,88,14
16,2,115,21
26,5,86,15
15,2,77,12
31,6,94,14
27,4,81,14
29,5,93,16
15,2,51,8
21,4,103,19
13,2,184,40
15,2,49,7
14,2,84,15
14,2,77,12
26,4,79,13
31,6,75,12
17,2,90,15
7,1,59,8
23,4,89,15
30,5,114,20
17,3,68,11
20,3,122,24
12,2,49,7
15,2,71,11
15,2,73,11
16,2,72,12
22,4,72,11
29,6,78,12
19,3,118,23
19,3,75,11
20,3,66,9
23,4,90,15
18,3,70,11
16,2,102,18
18,3,89,14
14,2,102,18
37,6,76,12
30,5,103,19
27,6,75,12
29,4,98,17
23,4,92,15
37,7,69,11
13,2,66,10
16,2,62,10
19,3,105,19
16,3,85,15
14,2,76,12
26,4,94,16
21,4,75,12
16,2,83,15
20,3,77,13
15,2,86,13
16,3,85,15
14,2,87,13
21,4,90,14
30,6,91,16
18,3,97,16
24,4,68,11
37,7,76,12
22,3,117,21
15,2,69,10
23,4,66,10
20,3,67,10
24,4,75,12
32,5,82,12
15,2,97,17
25,4,76,13
32,6,71,11
14,2,80,13
17,2,106,20
27,5,79,13
30,5,88,15
14,2,79,13
18,3,92,15
21,4,72,11
8,1,80,12
21,3,81,13
26,4,105,19
21,3,100,17
12,2,115,19
32,6,99,17
23,4,90,15
25,4,103,18
15,2,84,13
17,2,99,19
14,2,63,9
18,3,75,13
10,1,83,15
13,2,105,18
22,3,70,11
27,4,85,14
21,4,95,15
14,2,60,9
11,2,101,17
32,6,89,16
15,2,64,9
17,3,80,13
28,6,84,14
15,2,70,11
14,2,88,15
21,4,73,11
30,6,66,10
29,6,61,8
31,6,84,13
30,6,85,13
14,2,81,12
28,5,91,15
15,3,97,16
12,2,69,11
18,2,83,13
17,3,81,13
23,4,75,12
84,29,51,7
29,5,127,25
9,1,108,19
22,4,96,16
31,5,84,14
17,2,82,13
9,1,106,18
17,3,70,11
21,3,81,13
12,2,60,9
17,3,54,8
27,4,60,10
20,3,111,20
11,1,77,13
41,8,79,13
23,4,103,20
25,4,80,13
9,1,68,10
14,2,65,11
27,5,76,12
24,4,81,13
21,3,65,10
14,2,57,8
18,3,86,15
18,3,100,18
16,2,82,13
18,3,131,23
24,4,68,11
50,11,98,17
13,2,70,11
29,5,83,14
23,3,86,15
16,2,109,22
12,2,87,14
37,6,98,16
14,2,70,10
16,2,73,12
22,4,90,16
17,2,104,20
19,3,63,9
22,4,108,18
14,2,70,10
21,4,80,12
29,5,96,15
24,3,108,21
12,2,90,14
11,1,67,10
21,3,77,13
15,3,86,13
15,2,68,11
18,2,64,11
23,4,86,17
23,4,86,15
11,2,73,12
20,3,68,11
22,3,68,11
21,3,84,15
27,5,90,16
22,3,70,11
22,4,52,7
32,6,96,16
25,4,79,14
28,5,55,8
40,9,69,11
19,3,84,13
28,6,77,12
14,2,91,14
18,3,104,18
20,3,86,14
16,3,95,15
17,3,122,24
22,3,92,17
20,3,80,13
17,2,98,17
19,3,72,11
13,2,91,15
16,2,75,12
10,2,65,10
29,5,90,14
22,3,89,15
27,4,62,10
16,2,88,14
12,2,72,11
27,5,72,11
27,5,76,11
35,6,85,13
17,2,72,11
22,4,77,13
23,4,62,9
12,2,78,12
28,4,75,12
19,3,90,14
23,4,76,11
13,2,70,11
27,5,111,20
30,5,83,15
12,2,84,13
22,4,98,16
22,3,68,10
31,6,87,14
16,2,98,19
17,3,71,11
18,3,67,10
20,3,92,16
31,6,77,12
27,4,63,10
19,3,79,14
14,2,84,13
16,2,62,9
13,2,76,13
12,2,62,9
20,3,97,16
26,6,92,14
20,3,81,12
19,3,91,16
15,2,61,8
14,2,90,16
24,4,87,15
32,6,58,8
17,2,87,14
18,3,76,12
14,2,73,12
14,2,73,13
29,4,52,7
23,5,55,8
23,4,98,16
16,2,62,10
14,2,68,10
9,1,77,12
27,5,99,17
24,4,59,9
18,2,92,16
17,2,79,13
9,1,125,23
18,3,77,12
18,3,71,10
