"Nf","NfSE","Nm","NmSE","Estimated_truth","Total_samples"
277,51,392,67,500,224
172,25,340,54,500,224
191,29,274,42,500,224
202,34,303,50,500,224
174,27,434,75,500,224
232,44,295,41,500,224
118,16,379,63,500,224
185,28,366,61,500,224
181,28,436,77,500,224
153,23,326,51,500,224
174,26,416,73,500,224
333,71,340,54,500,224
130,16,343,57,500,224
150,23,483,90,500,224
246,46,352,57,500,224
143,19,323,53,500,224
161,24,277,39,500,224
146,22,363,57,500,224
121,18,420,69,500,224
162,28,312,49,500,224
139,22,317,47,500,224
215,36,488,92,500,224
175,29,364,57,500,224
300,61,351,55,500,224
240,44,353,57,500,224
143,19,318,50,500,224
181,29,304,46,500,224
169,27,487,87,500,224
290,57,384,64,500,224
137,19,513,99,500,224
152,22,341,55,500,224
158,22,286,43,500,224
131,18,482,91,500,224
129,17,298,45,500,224
208,35,246,35,500,224
196,33,329,52,500,224
226,40,413,75,500,224
190,31,320,51,500,224
179,28,305,45,500,224
191,35,355,56,500,224
147,23,337,53,500,224
221,40,300,46,500,224
163,26,429,77,500,224
198,35,282,39,500,224
484,129,316,48,500,224
206,35,357,56,500,224
187,28,308,49,500,224
189,31,335,51,500,224
220,38,483,88,500,224
217,38,308,47,500,224
271,58,362,56,500,224
128,16,390,66,500,224
223,40,398,65,500,224
118,16,391,67,500,224
142,19,372,61,500,224
115,16,359,60,500,224
179,28,347,54,500,224
162,25,378,61,500,224
143,22,438,76,500,224
171,29,270,38,500,224
186,29,316,49,500,224
129,18,392,63,500,224
323,70,357,56,500,224
166,24,319,52,500,224
216,36,295,43,500,224
149,23,412,68,500,224
198,32,367,61,500,224
198,31,342,53,500,224
148,22,363,59,500,224
295,63,321,47,500,224
190,29,467,87,500,224
186,31,419,71,500,224
156,25,384,62,500,224
201,34,403,70,500,224
243,47,364,61,500,224
180,27,549,107,500,224
163,24,381,64,500,224
186,31,460,80,500,224
288,57,389,64,500,224
86,11,408,71,500,224
189,33,295,43,500,224
139,19,485,92,500,224
165,24,364,60,500,224
156,23,373,61,500,224
174,26,349,56,500,224
203,33,311,46,500,224
174,27,441,77,500,224
210,36,349,56,500,224
136,19,373,62,500,224
170,26,366,63,500,224
247,45,368,60,500,224
201,33,353,60,500,224
187,31,310,47,500,224
229,38,325,52,500,224
173,28,322,50,500,224
154,23,276,41,500,224
154,24,408,68,500,224
256,48,277,39,500,224
144,21,365,60,500,224
225,46,295,42,500,224
