ref.year,all,yes,mort.yrs,type,parent,pop.growth.yrs,BI
90,90,0,0,PO,mother,10,even
90,449,2,1,HS,mother,10,odd
90,90,0,1,PO,mother,10,odd
90,717,0,2,HS,mother,10,even
90,72,0,2,PO,mother,10,even
90,899,1,3,HS,mother,10,odd
90,108,1,3,PO,mother,10,odd
90,845,0,4,HS,mother,10,even
90,611,0,5,HS,mother,10,odd
90,537,1,6,HS,mother,10,even
90,378,0,7,HS,mother,10,odd
90,234,0,8,HS,mother,10,even
90,324,0,9,HS,mother,10,odd
90,162,0,10,HS,mother,10,even
90,251,0,11,HS,mother,10,odd
90,72,0,12,HS,mother,10,even
90,90,0,13,HS,mother,10,odd
90,36,0,14,HS,mother,10,even
89,100,0,0,PO,mother,9,even
89,125,2,0,PO,mother,9,even
