"Nf","NfSE","Nm","NmSE"
20,2,82,9
15,1,63,8
12,1,68,7
14,1,85,10
18,2,89,11
17,2,71,8
22,2,61,7
14,1,58,7
9,1,68,7
18,2,85,10
10,1,58,6
23,3,60,7
14,2,74,8
22,3,84,10
14,2,71,8
21,2,46,5
20,2,63,7
13,1,83,10
27,3,75,9
12,1,69,8
24,3,76,9
13,1,72,8
20,2,85,10
18,2,75,9
18,2,73,8
19,2,76,9
27,4,65,7
12,1,65,7
21,2,58,6
14,1,64,8
17,2,64,7
16,2,107,14
16,2,64,7
15,1,60,6
18,2,74,9
21,2,46,5
20,2,60,7
23,3,90,11
22,3,87,10
22,2,58,7
30,4,64,6
16,2,65,7
22,2,85,11
20,3,65,7
17,2,74,8
18,2,77,10
10,1,81,9
15,1,61,6
16,2,62,7
23,3,64,7
18,2,58,6
15,2,61,7
13,1,64,7
21,3,71,8
21,3,82,9
18,2,78,9
16,2,71,8
13,1,62,7
15,2,77,9
19,2,73,8
17,2,69,7
16,2,65,7
15,2,72,9
12,1,93,11
26,3,72,8
12,1,81,10
17,2,60,6
18,2,66,7
11,1,70,8
17,2,76,8
15,1,58,6
23,3,85,10
18,2,70,8
18,2,66,7
13,1,66,8
18,2,69,8
26,3,63,7
14,2,68,7
18,2,65,7
20,2,73,9
23,2,81,10
15,2,82,10
25,3,72,8
17,2,73,8
27,3,59,6
14,1,69,8
19,2,76,9
16,2,86,10
15,2,82,9
17,2,52,5
14,2,72,8
24,3,56,6
26,3,70,8
19,2,65,7
27,4,68,7
14,1,70,8
16,2,63,7
21,2,76,9
23,3,59,6
24,3,77,9
