"Nf","NfSE","Nm","NmSE","Estimated_truth","Total_samples"
NA,NA,NA,NA,NA,NA
15,5,84,30,77,88
6,2,198,114,77,88
22,8,79,32,77,88
15,6,145,65,77,88
17,6,79,35,77,88
48,24,138,61,77,88
23,7,106,43,77,88
22,9,115,57,77,88
12,3,89,36,77,88
29,13,62,22,77,88
87,50,84,30,77,88
63,31,142,71,77,88
31,22,192,96,77,88
64,32,92,46,77,88
25,9,114,57,77,88
42,19,159,79,77,88
44,18,88,39,77,88
40,18,48,17,77,88
16,5,56,18,77,88
41,20,131,58,77,88
19,6,60,19,77,88
30,14,231,133,77,88
NA,NA,NA,NA,NA,NA
6,2,90,36,77,88
26,8,103,46,77,88
NA,NA,NA,NA,NA,NA
39,17,84,29,77,88
38,19,48,17,77,88
81,40,68,26,77,88
26,15,135,55,77,88
27,10,61,17,77,88
NA,NA,NA,NA,NA,NA
36,14,54,18,77,88
17,5,117,58,77,88
16,5,93,41,77,88
17,7,84,34,77,88
14,6,119,53,77,88
25,11,92,41,77,88
18,5,205,118,77,88
NA,NA,NA,NA,NA,NA
28,16,142,63,77,88
53,31,65,20,77,88
51,29,318,225,77,88
116,67,124,55,77,88
20,8,292,206,77,88
13,5,65,21,77,88
26,10,127,63,77,88
29,14,86,30,77,88
52,30,271,192,77,88
39,19,103,42,77,88
17,6,132,53,77,88
14,4,55,22,77,88
12,3,127,63,77,88
NA,NA,NA,NA,NA,NA
26,10,192,135,77,88
53,24,93,35,77,88
24,7,151,87,77,88
42,19,62,22,77,88
12,4,141,70,77,88
9,2,256,148,77,88
22,11,82,27,77,88
21,6,91,40,77,88
9,4,57,17,77,88
24,8,98,40,77,88
14,6,81,31,77,88
13,4,52,16,77,88
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
31,15,87,31,77,88
28,14,158,79,77,88
17,6,69,23,77,88
12,3,130,65,77,88
29,11,224,129,77,88
39,27,139,62,77,88
23,9,49,13,77,88
23,8,173,100,77,88
14,4,98,37,77,88
22,9,53,17,77,88
11,4,71,27,77,88
14,4,63,24,77,88
24,10,62,20,77,88
37,12,147,73,77,88
6,2,40,13,77,88
55,31,316,223,77,88
33,19,135,60,77,88
24,9,84,32,77,88
19,8,203,117,77,88
37,16,66,21,77,88
57,28,93,41,77,88
NA,NA,NA,NA,NA,NA
33,11,92,37,77,88
13,5,43,13,77,88
26,11,107,48,77,88
16,9,64,21,77,88
22,7,146,65,77,88
11,3,79,30,77,88
NA,NA,NA,NA,NA,NA
58,29,140,81,77,88
31,14,84,29,77,88
NA,NA,NA,NA,NA,NA
19,9,81,29,77,88
26,8,84,31,77,88
30,15,82,33,77,88
15,7,64,20,77,88
33,23,114,51,77,88
44,22,99,37,77,88
19,8,126,56,77,88
NA,NA,NA,NA,NA,NA
77,54,361,255,77,88
25,11,207,119,77,88
53,23,106,47,77,88
26,8,298,210,77,88
22,8,67,25,77,88
NA,NA,NA,NA,NA,NA
14,3,44,14,77,88
54,20,189,109,77,88
8,2,58,24,77,88
8,4,59,18,77,88
4,1,165,82,77,88
8,3,89,29,77,88
30,15,178,89,77,88
72,41,68,22,77,88
26,9,85,32,77,88
14,6,371,262,77,88
15,5,221,128,77,88
37,18,343,242,77,88
28,9,99,44,77,88
61,35,77,31,77,88
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
109,77,83,29,77,88
31,12,97,32,77,88
43,21,303,214,77,88
28,14,71,24,77,88
25,8,111,49,77,88
27,13,180,90,77,88
21,9,191,95,77,88
17,6,246,174,77,88
12,4,68,22,77,88
22,8,64,24,77,88
47,23,131,58,77,88
30,21,123,50,77,88
23,13,117,52,77,88
31,11,130,58,77,88
26,10,157,90,77,88
19,8,139,69,77,88
30,11,85,30,77,88
16,6,92,37,77,88
26,8,63,24,77,88
56,25,243,140,77,88
33,13,106,43,77,88
27,10,75,26,77,88
29,14,237,137,77,88
16,5,107,47,77,88
35,17,140,62,77,88
16,6,128,64,77,88
28,12,274,194,77,88
18,6,84,32,77,88
26,11,207,119,77,88
20,6,201,142,77,88
10,3,62,23,77,88
24,10,87,39,77,88
NA,NA,NA,NA,NA,NA
51,20,274,193,77,88
27,9,143,71,77,88
16,9,136,55,77,88
30,12,44,14,77,88
69,39,115,51,77,88
31,15,92,37,77,88
14,5,101,41,77,88
8,2,117,48,77,88
16,8,104,39,77,88
54,22,147,73,77,88
13,4,140,80,77,88
48,27,115,43,77,88
28,11,100,44,77,88
42,17,171,85,77,88
14,6,134,60,77,88
28,14,125,56,77,88
32,13,92,37,77,88
39,15,75,28,77,88
22,8,86,32,77,88
49,28,79,28,77,88
22,9,54,19,77,88
9,3,210,105,77,88
NA,NA,NA,NA,NA,NA
19,8,138,69,77,88
39,27,61,19,77,88
33,13,103,46,77,88
36,20,357,252,77,88
104,74,45,14,77,88
16,5,202,117,77,88
34,17,83,37,77,88
35,14,119,48,77,88
18,7,57,19,77,88
46,23,90,34,77,88
39,15,159,79,77,88
19,6,198,140,77,88
48,21,176,88,77,88
29,10,74,28,77,88
67,47,158,70,77,88
34,15,83,29,77,88
64,32,74,26,77,88
19,6,97,37,77,88
26,10,61,19,77,88
NA,NA,NA,NA,NA,NA
35,16,79,28,77,88
15,5,69,24,77,88
16,6,68,20,77,88
32,18,104,37,77,88
27,11,142,63,77,88
34,20,140,70,77,88
NA,NA,NA,NA,NA,NA
12,4,225,130,77,88
NA,NA,NA,NA,NA,NA
23,8,127,63,77,88
13,4,77,31,77,88
29,14,71,25,77,88
20,6,252,178,77,88
12,3,138,79,77,88
10,6,126,51,77,88
99,57,75,30,77,88
16,5,103,46,77,88
27,13,44,15,77,88
17,6,114,46,77,88
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
28,12,133,59,77,88
NA,NA,NA,NA,NA,NA
20,6,353,249,77,88
30,12,75,30,77,88
24,8,182,128,77,88
16,6,127,52,77,88
3,1,58,18,77,88
NA,NA,NA,NA,NA,NA
27,15,78,35,77,88
NA,NA,NA,NA,NA,NA
27,12,57,19,77,88
22,7,137,68,77,88
29,11,75,28,77,88
10,3,58,20,77,88
22,8,63,22,77,88
77,54,190,95,77,88
NA,NA,NA,NA,NA,NA
69,34,173,99,77,88
28,11,75,25,77,88
NA,NA,NA,NA,NA,NA
23,7,32,9,77,88
23,9,39,13,77,88
27,12,81,30,77,88
NA,NA,NA,NA,NA,NA
23,10,76,31,77,88
19,5,87,39,77,88
21,7,330,233,77,88
NA,NA,NA,NA,NA,NA
32,13,71,25,77,88
32,12,121,49,77,88
7,2,97,43,77,88
41,23,112,46,77,88
37,14,201,116,77,88
15,4,141,63,77,88
21,8,95,36,77,88
20,6,123,71,77,88
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
35,16,113,50,77,88
10,4,364,257,77,88
NA,NA,NA,NA,NA,NA
37,16,160,80,77,88
79,56,338,239,77,88
30,17,262,151,77,88
7,2,83,34,77,88
15,5,207,119,77,88
40,18,124,62,77,88
47,27,146,65,77,88
7,2,51,16,77,88
42,24,76,29,77,88
23,8,207,119,77,88
16,6,141,63,77,88
26,10,117,52,77,88
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
19,7,81,30,77,88
24,11,81,28,77,88
50,25,63,21,77,88
34,15,86,35,77,88
NA,NA,NA,NA,NA,NA
9,3,168,84,77,88
83,58,199,114,77,88
72,36,289,167,77,88
13,3,112,50,77,88
18,6,120,53,77,88
102,59,124,55,77,88
26,11,82,29,77,88
28,12,171,98,77,88
35,20,109,38,77,88
22,8,75,24,77,88
NA,NA,NA,NA,NA,NA
36,21,66,23,77,88
9,4,113,56,77,88
25,17,126,56,77,88
30,13,87,35,77,88
28,10,106,53,77,88
22,9,101,45,77,88
16,6,176,101,77,88
20,6,133,59,77,88
40,16,89,40,77,88
21,8,130,58,77,88
23,7,73,26,77,88
22,7,35,10,77,88
70,40,170,85,77,88
33,15,117,52,77,88
22,8,77,29,77,88
24,8,169,97,77,88
1,0,94,35,77,88
20,8,65,26,77,88
44,16,103,46,77,88
24,10,128,57,77,88
25,11,68,21,77,88
60,30,156,69,77,88
33,11,208,146,77,88
35,17,150,67,77,88
34,20,193,96,77,88
20,6,55,22,77,88
33,19,143,64,77,88
20,6,48,17,77,88
35,16,195,112,77,88
NA,NA,NA,NA,NA,NA
17,5,79,28,77,88
12,3,95,36,77,88
22,7,178,89,77,88
17,5,63,21,77,88
20,11,112,45,77,88
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
23,9,137,61,77,88
11,4,144,59,77,88
13,4,84,32,77,88
16,5,61,25,77,88
NA,NA,NA,NA,NA,NA
18,6,156,69,77,88
60,29,60,22,77,88
23,10,98,40,77,88
33,12,188,108,77,88
37,14,103,46,77,88
NA,NA,NA,NA,NA,NA
9,3,104,39,77,88
16,5,70,25,77,88
39,19,107,53,77,88
17,6,116,47,77,88
17,6,153,76,77,88
13,4,54,20,77,88
15,7,132,54,77,88
23,11,61,23,77,88
65,46,255,147,77,88
26,9,176,102,77,88
22,9,104,42,77,88
NA,NA,NA,NA,NA,NA
28,14,156,70,77,88
45,26,149,74,77,88
5,2,113,46,77,88
51,29,145,65,77,88
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
42,21,115,47,77,88
24,11,86,27,77,88
13,4,87,33,77,88
48,21,121,60,77,88
51,25,69,26,77,88
16,5,82,29,77,88
15,5,95,36,77,88
35,17,110,49,77,88
13,4,90,40,77,88
43,21,178,79,77,88
22,8,69,24,77,88
15,6,91,37,77,88
7,1,97,43,77,88
82,58,64,21,77,88
22,9,106,40,77,88
16,9,92,35,77,88
30,12,171,85,77,88
28,11,61,22,77,88
26,18,179,89,77,88
15,5,58,26,77,88
23,10,144,72,77,88
33,12,248,175,77,88
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
26,8,56,20,77,88
45,20,69,23,77,88
35,16,60,21,77,88
79,46,367,259,77,88
40,18,303,214,77,88
68,34,148,73,77,88
13,5,68,28,77,88
24,8,106,43,77,88
NA,NA,NA,NA,NA,NA
8,2,87,29,77,88
14,5,65,23,77,88
23,11,156,77,77,88
51,29,175,101,77,88
40,23,198,99,77,88
NA,NA,NA,NA,NA,NA
7,2,141,57,77,88
28,14,93,33,77,88
15,7,93,33,77,88
54,27,60,21,77,88
25,10,56,19,77,88
15,7,58,19,77,88
NA,NA,NA,NA,NA,NA
37,18,131,65,77,88
29,11,50,16,77,88
13,4,56,20,77,88
10,3,263,151,77,88
24,8,70,26,77,88
52,21,101,41,77,88
24,8,93,38,77,88
8,3,83,31,77,88
28,12,53,18,77,88
NA,NA,NA,NA,NA,NA
19,7,112,45,77,88
1,0,284,163,77,88
20,7,96,36,77,88
24,12,171,99,77,88
28,11,158,79,77,88
23,7,215,124,77,88
NA,NA,NA,NA,NA,NA
14,4,75,28,77,88
62,43,69,20,77,88
104,73,194,97,77,88
22,11,99,35,77,88
14,6,81,30,77,88
37,18,116,47,77,88
28,11,90,40,77,88
8,3,116,58,77,88
22,7,125,56,77,88
NA,NA,NA,NA,NA,NA
23,9,66,21,77,88
23,8,60,22,77,88
27,12,82,31,77,88
27,12,64,20,77,88
18,6,107,43,77,88
59,29,147,66,77,88
50,25,141,70,77,88
22,9,122,54,77,88
NA,NA,NA,NA,NA,NA
27,11,129,57,77,88
9,3,104,42,77,88
6,2,255,147,77,88
10,3,73,24,77,88
