"Nf","NfSE","Nm","NmSE"
21,6,98,40
18,9,54,19
33,19,94,36
18,7,76,28
21,8,37,10
NA,NA,NA,NA
NA,NA,NA,NA
37,16,112,50
42,24,129,52
NA,NA,NA,NA
30,11,111,45
105,74,65,22
39,14,68,24
13,4,285,202
16,6,131,58
43,19,180,104
19,6,114,51
29,11,202,116
57,28,131,58
13,4,51,18
11,3,133,66
10,3,138,69
62,44,168,96
12,3,76,29
23,8,91,37
33,13,80,30
30,17,102,41
47,18,154,88
14,4,101,45
14,4,141,70
42,15,77,34
36,16,185,92
27,9,38,13
12,5,90,36
11,3,318,225
22,10,80,32
35,15,61,25
1,0,260,150
37,21,77,27
39,19,146,73
17,5,98,44
92,65,68,24
21,8,76,27
12,4,63,22
18,5,62,23
27,11,188,108
19,9,74,30
11,6,113,46
51,25,113,46
17,8,257,181
24,9,113,56
11,5,87,33
54,27,173,86
113,79,70,23
43,21,143,71
NA,NA,NA,NA
34,12,104,46
NA,NA,NA,NA
13,4,88,39
19,6,210,121
31,13,98,40
28,12,79,28
40,18,101,41
41,18,85,38
32,18,475,336
43,30,68,20
32,14,64,24
NA,NA,NA,NA
27,11,66,23
18,7,156,78
13,4,69,23
20,7,113,46
NA,NA,NA,NA
57,32,73,27
29,13,56,16
82,47,69,24
8,3,119,53
17,5,136,60
15,5,53,17
NA,NA,NA,NA
NA,NA,NA,NA
21,7,58,19
28,11,133,59
16,9,72,24
23,7,85,34
30,10,310,218
23,8,235,136
12,3,116,51
26,10,103,42
17,6,89,39
37,14,82,33
20,9,88,31
55,27,112,46
41,18,351,247
NA,NA,NA,NA
32,11,150,67
10,3,288,203
31,13,92,41
14,5,149,74
24,12,66,21
78,45,80,30
33,19,170,85
22,8,84,34
19,6,79,32
NA,NA,NA,NA
14,5,148,66
16,5,160,92
NA,NA,NA,NA
15,8,113,50
25,14,114,51
26,10,74,28
25,10,106,43
34,17,129,64
19,8,341,241
34,17,408,288
46,26,191,95
18,5,64,24
25,8,48,18
14,4,148,66
58,33,91,45
NA,NA,NA,NA
33,16,225,130
46,21,71,31
24,9,332,235
20,7,119,59
NA,NA,NA,NA
22,8,162,93
19,5,72,24
12,3,116,51
16,5,71,24
19,6,144,72
13,6,66,23
8,2,88,31
46,23,157,91
NA,NA,NA,NA
36,18,131,53
13,4,232,134
25,8,70,24
NA,NA,NA,NA
15,5,147,60
16,4,128,64
NA,NA,NA,NA
46,23,44,16
73,51,92,37
30,12,146,72
11,4,76,24
27,11,379,268
37,16,330,233
30,15,84,34
NA,NA,NA,NA
43,25,106,37
16,4,77,38
19,6,50,19
44,19,280,198
67,47,155,77
20,7,127,56
33,16,127,51
20,6,94,47
13,4,67,22
54,38,187,93
17,6,78,29
16,5,106,43
57,33,51,17
20,7,56,20
39,19,104,42
15,5,209,120
26,10,104,46
41,18,104,52
59,41,92,37
NA,NA,NA,NA
20,7,100,40
32,14,99,40
NA,NA,NA,NA
21,10,139,69
13,4,349,247
85,49,290,205
27,11,152,76
37,15,129,57
NA,NA,NA,NA
41,20,103,39
16,5,247,174
83,58,253,146
16,5,115,47
NA,NA,NA,NA
41,20,103,42
19,8,122,50
17,5,103,39
15,6,84,30
33,15,39,10
15,5,64,26
23,6,88,33
30,17,108,48
14,4,145,72
22,8,128,64
25,9,120,53
29,11,170,85
18,6,40,13
58,40,97,34
19,7,103,39
51,25,98,40
24,8,93,33
76,43,121,54
40,16,194,112
NA,NA,NA,NA
48,21,110,44
7,2,75,25
11,3,128,73
30,12,101,45
NA,NA,NA,NA
14,6,160,71
28,12,154,69
6,1,280,162
37,21,89,33
25,9,212,122
45,26,167,83
NA,NA,NA,NA
22,9,73,23
32,16,78,28
80,56,97,40
19,7,103,42
21,8,128,52
32,18,99,37
NA,NA,NA,NA
8,3,67,25
