script_name,primary_goal,question1,question2,question3,purpose,date.of.simulation,target.YOY,down_sample,max.HSPs,max.POPs,HS.only,PO.only,fixed.parameters,estimated.parameters,seeds,thinning_rate,posterior_samples,burn_in,survival.prior.info,lambda.prior.info,psi.prior,abundance.prior
Obj1.1_model.validation_sample.ALL.ages.R,Validate iniitial model,Does the model perform as expected in a simplified base-case scenario with an informed prior on survival?,NA,NA,Obj1.1_model.validation_sample.ALL.ages,10-Aug-22,no,no,NA,NA,no,no,none,"Nf,Nm,survival",Seeds2022.04.15,20,40000,50000,0.825,NA,NA,diffuse Normal w diffuse Uniform hyperprior
Obj1.1_model.validation_sample.all.juvenile.ages.R,Validate iniitial model,Does the model perform as expected in a simplified base-case scenario with an informed prior on survival?,NA,NA,Obj1.1_model.validation_sample.all.juvenile.ages,10-Aug-22,no,no,NA,NA,yes,no,none,"Nf,Nm,survival",Seeds2022.04.15,20,40000,50000,0.825,NA,NA,diffuse Normal w diffuse Uniform hyperprior
Obj1.1_model.validation_Target.YOY.R,Validate iniitial model,Does the model perform as expected in a simplified base-case scenario with an informed prior on survival?,NA,NA,Obj1.1_model.validation_Target.YOY,10-Aug-22,yes,no,NA,NA,yes,no,none,"Nf,Nm,survival",Seeds2022.04.15,20,40000,50000,0.825,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_2.1_lambda.trial_Target.YOY.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,NA,scenario_2.1_lambda.trial_Target.YOY,10-Aug-22,yes,no,NA,NA,yes,no,none,"Nf,Nm,survival",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_2.1_lambda.extreme_sample.all.juvenile.ages.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,NA,scenario_2.1_lambda.extreme_sample.all.juvenile.ages,10-Aug-22,no,no,NA,NA,yes,no,none,"Nf,Nm,survival",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_2.1_lambda.extreme_sample.ALL.ages.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,NA,scenario_2.1_lambda.extreme_sample.ALL.ages,10-Aug-22,no,no,NA,NA,no,no,none,"Nf,Nm,survival",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_2.1_lambda.extreme_Target.YOY.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,NA,scenario_2.1_lambda.extreme_Target.YOY,10-Aug-22,yes,no,NA,NA,yes,no,none,"Nf,Nm,survival",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_2.1_lambda.extreme_sample.all.juvenile.ages.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,NA,scenario_2.1_lambda.extreme_sample.all.juvenile.ages,10-Aug-22,no,no,NA,NA,yes,no,none,"Nf,Nm,survival",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_2.1_lambda.extreme_sample.ALL.ages.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,NA,scenario_2.1_lambda.extreme_sample.ALL.ages,10-Aug-22,no,no,NA,NA,no,no,none,"Nf,Nm,survival",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_2.2.1_lambda.trial_sample.ALL.ages_change.est.yr.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,Does lambda become more important if we change the year of estimation?,scenario_2.2.1_lambda.trial_sample.ALL.ages_change.est.yr,10Aug2022,no,no,NA,NA,no,no,none,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
