"Nf","NfSE","Nm","NmSE","Fathers_detected","Mothers_detected","Total_samples","F_truth","M_truth"
67,7,126,19,44,83,150,75,125
71,8,179,32,32,80,150,75,125
92,12,142,23,39,60,150,75,125
66,7,113,16,48,82,150,75,125
72,8,127,19,44,78,150,75,125
78,9,139,22,41,73,150,75,125
83,10,116,16,51,71,150,75,125
86,10,88,11,67,68,150,75,125
63,7,116,16,50,92,150,75,125
72,8,142,23,39,77,150,75,125
84,10,119,17,49,69,150,75,125
72,8,124,18,46,79,150,75,125
79,9,108,14,55,75,150,75,125
72,8,111,15,52,80,150,75,125
80,9,112,15,52,73,150,75,125
84,10,107,15,50,64,150,75,125
71,8,120,17,48,81,150,75,125
77,9,141,22,42,77,150,75,125
72,8,136,21,41,77,150,75,125
88,12,122,19,42,58,150,75,125
73,8,127,19,45,78,150,75,125
75,8,125,18,47,79,150,75,125
73,8,138,21,43,81,150,75,125
61,6,161,26,37,98,150,75,125
73,8,164,27,36,81,150,75,125
87,11,124,18,45,64,150,75,125
82,10,129,19,45,71,150,75,125
91,11,143,22,42,66,150,75,125
78,9,155,25,38,75,150,75,125
73,8,165,27,36,81,150,75,125
75,9,112,16,51,76,150,75,125
68,7,183,33,31,83,150,75,125
69,8,131,20,43,82,150,75,125
82,10,129,20,43,68,150,75,125
75,9,118,17,50,78,150,75,125
60,6,128,20,43,92,150,75,125
72,8,110,15,55,84,150,75,125
86,11,102,14,50,59,150,75,125
79,9,157,27,35,70,150,75,125
75,9,105,14,53,74,150,75,125
87,11,132,21,40,61,150,75,125
75,9,149,25,37,74,150,75,125
77,9,125,18,47,76,150,75,125
70,8,119,17,48,82,150,75,125
66,7,115,16,49,85,150,75,125
70,8,112,16,52,83,150,75,125
82,10,127,19,43,67,150,75,125
90,11,140,22,40,62,150,75,125
81,9,116,16,51,73,150,75,125
79,9,99,13,55,69,150,75,125
79,9,121,17,48,74,150,75,125
67,7,146,23,40,88,150,75,125
78,9,150,24,39,75,150,75,125
67,7,141,22,41,87,150,75,125
73,8,152,24,39,81,150,75,125
73,8,137,22,40,75,150,75,125
74,8,147,23,41,82,150,75,125
74,8,122,18,47,77,150,75,125
80,9,109,15,55,75,150,75,125
89,11,133,20,44,66,150,75,125
66,7,125,19,42,80,150,75,125
86,10,155,25,38,68,150,75,125
73,8,139,21,42,80,150,75,125
71,8,113,16,51,81,150,75,125
70,8,96,12,62,85,150,75,125
71,8,204,38,29,83,150,75,125
69,8,156,26,36,82,150,75,125
82,10,126,18,47,72,150,75,125
86,11,126,19,45,66,150,75,125
78,9,103,14,54,71,150,75,125
61,6,126,19,46,95,150,75,125
70,8,173,29,35,86,150,75,125
75,9,108,15,51,73,150,75,125
71,8,99,13,59,82,150,75,125
76,9,113,16,51,76,150,75,125
65,7,183,33,30,84,150,75,125
71,8,99,13,55,77,150,75,125
69,8,111,16,49,79,150,75,125
93,12,111,15,52,62,150,75,125
88,11,144,23,39,64,150,75,125
59,6,157,26,37,98,150,75,125
70,8,127,19,45,81,150,75,125
68,7,150,24,38,84,150,75,125
76,9,139,22,40,73,150,75,125
78,9,123,18,46,73,150,75,125
65,7,137,22,39,82,150,75,125
77,9,134,21,42,73,150,75,125
80,9,144,23,40,72,150,75,125
83,10,129,19,46,72,150,75,125
59,6,134,20,44,100,150,75,125
82,10,133,20,43,70,150,75,125
77,9,143,22,40,74,150,75,125
79,9,129,20,43,70,150,75,125
68,8,152,26,35,78,150,75,125
65,7,149,24,38,87,150,75,125
74,8,145,23,41,80,150,75,125
87,11,142,22,41,67,150,75,125
84,10,143,23,39,67,150,75,125
64,7,119,17,47,87,150,75,125
97,13,113,16,50,58,150,75,125
83,10,100,13,58,70,150,75,125
70,8,126,19,44,79,150,75,125
69,8,137,21,42,83,150,75,125
76,9,144,24,37,70,150,75,125
100,13,125,19,44,55,150,75,125
78,9,101,13,58,75,150,75,125
69,8,116,17,48,80,150,75,125
73,8,104,14,55,79,150,75,125
63,7,108,15,54,92,150,75,125
71,8,113,16,50,80,150,75,125
77,9,98,13,57,73,150,75,125
83,10,116,16,51,71,150,75,125
69,7,125,18,47,85,150,75,125
77,9,153,25,37,74,150,75,125
69,8,141,23,39,80,150,75,125
85,10,134,20,44,69,150,75,125
75,9,107,15,52,74,150,75,125
66,7,136,21,42,87,150,75,125
64,7,125,19,45,88,150,75,125
77,9,134,21,42,73,150,75,125
59,6,124,18,48,100,150,75,125
68,7,128,19,46,87,150,75,125
84,10,108,15,52,67,150,75,125
63,7,148,24,38,89,150,75,125
71,8,102,14,56,81,150,75,125
66,7,155,25,39,91,150,75,125
82,10,113,16,49,67,150,75,125
63,7,94,12,61,91,150,75,125
112,16,119,18,46,49,150,75,125
77,9,111,15,52,75,150,75,125
107,15,105,14,53,52,150,75,125
67,7,134,20,43,86,150,75,125
63,7,150,24,38,90,150,75,125
82,10,149,24,37,67,150,75,125
74,8,164,27,36,80,150,75,125
67,7,99,13,54,80,150,75,125
75,9,129,20,43,74,150,75,125
73,8,104,14,55,78,150,75,125
64,7,125,18,48,93,150,75,125
74,8,156,25,38,80,150,75,125
67,7,108,14,56,90,150,75,125
72,8,135,20,43,80,150,75,125
68,7,141,22,42,87,150,75,125
71,8,134,20,44,83,150,75,125
69,8,105,14,54,82,150,75,125
70,8,139,21,42,83,150,75,125
78,9,106,15,52,71,150,75,125
60,6,103,14,57,98,150,75,125
83,10,113,16,52,71,150,75,125
83,10,149,24,39,70,150,75,125
64,7,132,20,44,91,150,75,125
97,12,113,15,53,62,150,75,125
84,10,133,21,41,65,150,75,125
96,12,145,23,41,62,150,75,125
74,8,132,20,44,78,150,75,125
72,8,99,13,57,78,150,75,125
72,8,153,25,37,79,150,75,125
88,11,104,14,55,65,150,75,125
75,8,119,17,50,79,150,75,125
72,8,110,15,54,83,150,75,125
79,9,112,15,53,75,150,75,125
90,12,126,19,43,60,150,75,125
67,7,184,32,32,88,150,75,125
72,8,138,21,42,81,150,75,125
78,9,132,20,43,73,150,75,125
70,8,122,18,44,77,150,75,125
76,9,160,27,35,74,150,75,125
87,11,114,16,48,63,150,75,125
66,7,118,17,49,87,150,75,125
90,12,118,18,45,59,150,75,125
75,9,137,22,39,71,150,75,125
63,7,108,15,54,92,150,75,125
